code;type
C00-C14;T
C15-C26;T
C30-C39;T
C40-C41;T
C42-C42;T
C44-C44;T
C47-C47;T
C48-C48;T
C49-C49;T
C50-C50;T
C51-C58;T
C60-C63;T
C64-C68;T
C69-C72;T
C73-C75;T
C76-C80;T
